ID,Task,Assigned to,Due by date,Status,Remarks
1,AC installation in main play area,Rahul,23/03/2025,In progress,Vendor confirmed for Thursday
2,Trampoline net safety inspection,Priya,15/03/2025,Done,All nets checked and passed
3,Renew fire safety certificate,Manoj,05/04/2025,Yet to be started,
4,Repair flooring near dodgeball court,Rahul,10/03/2025,in Process,Waiting on replacement tiles
5,Design new Instagram promo creatives,Priya,,Yet to be started,
6,Hire two new part-time trainers,,20/04/2025,Yet to be started,Posted on job boards
7,Monthly electricity bill payment,Manoj,01/03/2025,Done,
8,Update signage for safety instructions,Rahul,18/03/2025,in process,
9,Restock first-aid kits at all stations,Priya,12/03/2025,Done,
10,Vendor quote for new trampoline beds,,25/03/2025,Yet to be started,
11,Staff training on emergency evacuation,Manoj,30/03/2025,,
12,Quarterly deep cleaning of play equipment,Rahul,22/03/2025,In Progress,
13,Website booking page bug fix,,,Yet to be started,Reported by customer via WhatsApp
14,Birthday party package pricing review,Priya,28/03/2025,done,
15,CCTV camera maintenance check,Manoj,14/03/2025,In process,Two cameras need realignment
16,Renew trampoline park insurance policy,,08/04/2025,Yet to be started,
17,Plan expansion layout for new zone,,,Yet to be started,Owner to review concept
18,Uniform order for new staff,Rahul,19/03/2025,Done,
19,Sound system repair in party zone,Priya,16/03/2025,In progress,
20,Review and respond to Google reviews,Manoj,,Yet to be started,
